BOORDTABEL FIETSPLAN;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Project;Gem;Lengte;Wat;Kost;Finan-ciering;Belang;Moeilijkheidsgr;Timing studie;svz-studie;Timing werken;Svz- werken;Opmerkingen;Verantw.;;;;
1. Fietspaden/fietssuggestiestroken;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1.1 Bestaande infrastructuur;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Industrielaan;AND;1705;BI;;;;;;;;1980;renovatie 2012;;;;;
Josse Leemanslaan;AND;850;FP;;;;;;;;1990;;;;;;
Maria Groeninckx-De Maylaan ;AND;700;BI;;;;;;;;1980;;;;;;
Frans van Kalkenlaan;AND;310;FP;;;;;;;;1980;;;;;;
Grote Ringlaan;AND;390;BI;;;;;;;;1980;;;;;;
Industrielaan;AND;310;FP;;;;;;;;1980;renovatie 2012;;;;;
Paepsemlaan+Gerijlaan;AND;930;FP;;;;;;;;1990;renovatie 2012;;;;;
Veeweydekaai;AND;1860;BI;;;;;;;;1980;;;;;;
Klein-Eilandstraat;AND;310;FP;;;;;;;;1980;;;;;;
Lenniksebaan;AND;1010;BI;;;;;;;;1990; ;;;;;
Luizenmolenlaan;AND;1010;BI;;;;;;;;1980;;;;;;
Dupuislaan;AND;775;BI;;;;;;;;1980;renovatie 2012;;;;;
Bergense Steenweg;AND;930;FP;;;;;;;;1990;;;;;;
Barastraat;AND;540;FP;;;;;;;;2000;;;;;;
Demetskaai;AND;1240;BI;;;;;;;;2000;;;;;;
Bracopslaan;AND;1400;BI;;;;;;;;1980;;;;;;
Aakaai;AND;1580;BI;;;;;;;;1980;;;;;;
Biestebroekstraat;AND;1040;BI;;;;;;;;1985;renovatie 2013;;;;;
Ninoofsesteenweg;AND-MOL;1395;FP;;;;;;;;1896;stuk tussen Mettewie en Scheutbos enkel langs één kant ;;;;;
Vilvoordsesteenweg;BRU;390;FP;;;;;;;;1980;;;;;;
Lambermontlaan;BRU;2710;FP;;;;;;;;1981;"Slechts één kant, andere kant=laterale baan; invoegingen fietspad aan te passen volgens normenplan";Stiénon;;;;
Vilvoordsesteenweg;BRU;3650;BI;;;;;;;;1980;;;;;;
Luxemburgstraat;BRU;462;BF;;;;;;;;1990;;;;;;
Renaissancelaan;BRU;601;SS;;;;;;;;1990;;;;;;
Roodebeeklaan;BRU;500;SS;;;;;;;;2000;;;;;;
Sterrenkundelaan ;BRU;191;GFP;;;;;;;;1980;;;;;;
Vilvoordselaan;BRU;4500;GFP;;;;;;;;1980;"2x2 met gemarkeerd fietspad : op termijn aan te passen; beplanting op middenberm voorzien";;;;;
Trierstraat;BRU;128;BF;;;;;;;;2000;;;;;;
Oudergemlaan ts Schumann en Belliard;BRU;230;GFP;;;;;;;;2000;;;;;;
de Tyraslaan;BRU;981;FP;;;;;;;;1990;;;;;;
Wetstraat;BRU;775;FP;;;;;;;;2003;;;;;;
Guldenvlieslaan;BRU;220;GFP;;;;;;;;1990;;;;;;
Willebroekkaai;BRU;930; FP;;;;;;;;1990;;;;;;
Koninklijk Parklaan;BRU;1780;FP;;;;;;;;1990;;;;;;
Vuurkruisenlaan;BRU;1860;GFP;;;;;;;;2000;BEV-markering;;;;;
Konings Albert II-laan;BRU-SJN-SCH;820;GFP;;;;;;;;1990;;;;;;
Triomflaan;ELS;1395;BI;;;;;;;;1980;;;;;;
Pleinlaan;ELS;620;BI;;;;;;;;1980;renovatie 2012;;;;;
Galliërslaan;ETT;310;BI;;;;;;;;1980;;;;;;
Nerviërslaan;ETT;620;BI;;;;;;;;1980;;;;;;
Ijzerlaan;ETT;310;BI;;;;;;;;1980;;;;;;
Zaventemstraat;EVE;357;GFP;;;;;;;;2004;;;;;;
Dikke-Beuklaan;JET;930;FP;;;;;;;;1980;;;;;;
Laarbeeklaan;JET;390;FP;;;;;;;;1980;;;;;;
Kasteellaan;MOL;730;GFP;;;;;;;;2000;;;;;;
Tervuursesteenweg;OUD;930;FP;;;;;;;;1980;Slechts één richting;;;;;
Herrmann-Debrouxlaan;OUD;465;BI;;;;;;;;2000;;;;;;
Waversesteenweg langs E411;OUD;1470;BI;;;;;;;;1970;;;;;;
Tervurenlaan;OUD-SPW-ETT;5270;BI;;;;;;;;1988;;;;;;
Vorstlaan;OUD-WAT;4420;BI;;;;;;;;1985;oversteek Hermann-Debroux nog niet geregeld.;Davide Pinto;;;;
Zelliksesteenweg;SAB;529;GFP;;;;;;;;1990;;;;;;
Plaskylaan;SCH;;BI;;;;;;;;1989;bestaat niet meer !;;;;;
Generaal Wahislaan;SCH;775;GFP;;;;;;;;1980;;;;;;
Scailquinstraat;SJN;272;BF;;;;;;;;2000;;;;;;
Marcel Thirylaan;SLW;930;FP;;;;;;;;2000;;;;;;
Vanderveldelaan;SLW;1550;BI;;;;;;;;1980;;;;;;
Marcel Thirylaan;SLW;310;GFP;;;;;;;;2000;;;;;;
Paul Hymanslaan;SLW;387;BI;;;;;;;;1998;aangepast in kader werken tram;;;;;
Woluwedal tussen Gewestgrens en Hymanslaan;SLW;1075;FP;;;;;;;;1980;ontbreekt aan één kant;Fabien Stiénon;;;;
